wavelength,Rrs_ref0.3067,Rrs_ref0.2788,Rrs_ref0.2383,Rrs_ref0.2318,Rrs_ref0.2291
457.0,4.04782826e-03,4.55047398e-03,4.25123790e-03,3.29115754e-03,3.39843795e-03
458.0,4.07419354e-03,4.57456582e-03,4.28810968e-03,3.33243692e-03,3.44194370e-03
459.0,4.10818939e-03,4.61103424e-03,4.33183905e-03,3.38428903e-03,3.49039107e-03
460.0,4.14072618e-03,4.64121427e-03,4.36491380e-03,3.42375882e-03,3.52764842e-03
461.0,4.17737741e-03,4.67840044e-03,4.39765672e-03,3.45757083e-03,3.56261654e-03
462.0,4.21661081e-03,4.72067258e-03,4.43572632e-03,3.48669585e-03,3.59637263e-03
463.0,4.24944544e-03,4.75615151e-03,4.47764661e-03,3.52346161e-03,3.63684953e-03
464.0,4.28874736e-03,4.79483140e-03,4.51803269e-03,3.57394208e-03,3.68347568e-03
465.0,4.32742791e-03,4.82605028e-03,4.56152817e-03,3.61302521e-03,3.72544820e-03
466.0,4.36254475e-03,4.86117454e-03,4.60110671e-03,3.65581526e-03,3.77030100e-03
467.0,4.39795941e-03,4.89635541e-03,4.63734324e-03,3.70690855e-03,3.81172884e-03
468.0,4.43846236e-03,4.93493620e-03,4.67277866e-03,3.73769811e-03,3.84855884e-03
469.0,4.47334639e-03,4.96673283e-03,4.71495690e-03,3.77020072e-03,3.89047798e-03
470.0,4.50540811e-03,4.99642527e-03,4.75065056e-03,3.83250813e-03,3.94321825e-03
471.0,4.54272110e-03,5.03243243e-03,4.77903570e-03,3.86339153e-03,3.97251884e-03
472.0,4.58098637e-03,5.07069926e-03,4.81239192e-03,3.89960534e-03,4.01397259e-03
473.0,4.61513808e-03,5.10393795e-03,4.84324689e-03,3.94546336e-03,4.05376653e-03
474.0,4.65222092e-03,5.14295487e-03,4.87025206e-03,3.97441654e-03,4.08804441e-03
475.0,4.68756470e-03,5.17330931e-03,4.90639271e-03,4.01164716e-03,4.13014752e-03
476.0,4.72309365e-03,5.20550133e-03,4.93303689e-03,4.05966682e-03,4.17453255e-03
477.0,4.75491715e-03,5.24194719e-03,4.96015131e-03,4.09501455e-03,4.20888732e-03
478.0,4.79271600e-03,5.28066747e-03,4.98610800e-03,4.13190412e-03,4.24583386e-03
479.0,4.82597932e-03,5.31445281e-03,5.01379386e-03,4.16397241e-03,4.28190312e-03
480.0,4.86074587e-03,5.34936515e-03,5.03921325e-03,4.20293499e-03,4.31696636e-03
481.0,4.89379711e-03,5.38970189e-03,5.06702098e-03,4.22892799e-03,4.35088302e-03
482.0,4.93440739e-03,5.42869121e-03,5.09875982e-03,4.26209709e-03,4.38533025e-03
483.0,4.96812281e-03,5.47661114e-03,5.12251745e-03,4.29900727e-03,4.41472576e-03
484.0,5.01390479e-03,5.52700856e-03,5.16288511e-03,4.30265181e-03,4.43572073e-03
485.0,5.05223173e-03,5.55778452e-03,5.23469744e-03,4.37412123e-03,4.51308200e-03
486.0,5.08296251e-03,5.57512729e-03,5.27664447e-03,4.47367146e-03,4.58948133e-03
487.0,5.11946223e-03,5.61213006e-03,5.31265149e-03,4.49812845e-03,4.61576754e-03
488.0,5.15667004e-03,5.65603069e-03,5.34721472e-03,4.53370264e-03,4.64947598e-03
489.0,5.19769931e-03,5.70022333e-03,5.37796668e-03,4.56023424e-03,4.67526465e-03
490.0,5.24604674e-03,5.75457947e-03,5.42863393e-03,4.57308778e-03,4.70447702e-03
491.0,5.29084335e-03,5.79717396e-03,5.48953783e-03,4.63572343e-03,4.76078265e-03
492.0,5.33859125e-03,5.83561932e-03,5.54934054e-03,4.70009571e-03,4.82407008e-03
493.0,5.38420417e-03,5.88385809e-03,5.59549587e-03,4.73887802e-03,4.86137873e-03
494.0,5.43374096e-03,5.93061592e-03,5.64684152e-03,4.77587065e-03,4.89995380e-03
495.0,5.49243243e-03,5.98671304e-03,5.70987997e-03,4.82572624e-03,4.95204586e-03
496.0,5.54778530e-03,6.04216874e-03,5.76536685e-03,4.86822488e-03,4.99457078e-03
497.0,5.60582407e-03,6.09390036e-03,5.83135513e-03,4.91833840e-03,5.04999078e-03
498.0,5.66807512e-03,6.15181152e-03,5.90014141e-03,4.98174996e-03,5.11254927e-03
499.0,5.73187110e-03,6.21005371e-03,5.96206218e-03,5.02385594e-03,5.15588447e-03
500.0,5.79928504e-03,6.26388486e-03,6.04580561e-03,5.09490088e-03,5.23047656e-03
501.0,5.85934389e-03,6.31714531e-03,6.11379819e-03,5.16825266e-03,5.29655226e-03
502.0,5.92327101e-03,6.37031083e-03,6.17733293e-03,5.22097388e-03,5.34689132e-03
503.0,5.99294361e-03,6.42699021e-03,6.25471680e-03,5.28646581e-03,5.41276651e-03
504.0,6.05610149e-03,6.47909690e-03,6.31507840e-03,5.36583971e-03,5.48139996e-03
505.0,6.13103220e-03,6.54907787e-03,6.37282995e-03,5.40325291e-03,5.52275337e-03
506.0,6.19894469e-03,6.60892435e-03,6.43902263e-03,5.44410962e-03,5.57388871e-03
507.0,6.27132315e-03,6.66506869e-03,6.50823241e-03,5.53198590e-03,5.65211775e-03
508.0,6.34118794e-03,6.72195530e-03,6.56456480e-03,5.59301909e-03,5.70792531e-03
509.0,6.41119029e-03,6.77925913e-03,6.62096333e-03,5.63761400e-03,5.76091220e-03
510.0,6.48644133e-03,6.84297936e-03,6.67429116e-03,5.70913386e-03,5.82306501e-03
511.0,6.55933686e-03,6.90766997e-03,6.72605933e-03,5.75173875e-03,5.86404053e-03
512.0,6.63782282e-03,6.97208253e-03,6.79414525e-03,5.80176978e-03,5.92628332e-03
513.0,6.71124873e-03,7.02668799e-03,6.86090245e-03,5.87945797e-03,5.99810012e-03
514.0,6.78831374e-03,7.10139116e-03,6.91125494e-03,5.94511147e-03,6.05050942e-03
515.0,6.87793662e-03,7.17289599e-03,6.98251181e-03,5.96626365e-03,6.09301600e-03
516.0,6.96417374e-03,7.24137959e-03,7.08253935e-03,6.06499812e-03,6.19174760e-03
